iter	Passed	Remaining
790	86310	22805
791	86420	22696
792	86517	22584
793	86642	22479
794	86769	22374
795	86882	22266
796	86987	22156
797	87071	22040
798	87185	21932
799	87274	21818
800	87369	21706
801	87489	21599
802	87630	21498
803	87744	21390
804	87811	21271
805	87972	21174
806	88103	21070
807	88210	20960
808	88320	20851
809	88406	20737
810	88545	20635
811	88649	20524
812	88737	20410
813	88864	20305
814	88958	20193
815	89022	20073
816	89174	19974
817	89279	19864
818	89396	19756
819	89497	19645
820	89584	19531
821	89688	19421
822	89776	19307
823	89864	19194
824	89978	19086
825	90074	18974
826	90161	18860
827	90250	18747
828	90361	18639
829	90457	18527
830	90548	18414
831	90660	18306
832	90755	18194
833	90872	18087
834	91038	17989
835	91130	17877
836	91263	17773
837	91361	17661
838	91436	17546
839	91598	17447
840	91692	17335
841	91797	17225
842	91918	17118
843	91999	17004
844	92259	16923
845	92369	16814
846	92508	16710
847	92598	16597
848	92672	16482
849	92780	16373
850	92896	16265
851	92993	16153
852	93099	16044
853	93218	15936
854	93315	15825
855	93419	15715
856	93496	15600
857	93624	15494
858	93714	15382
859	93799	15269
860	93900	15159
861	94005	15049
862	94104	14938
863	94226	14831
864	94324	14721
865	94409	14608
866	94534	14501
867	94632	14391
868	94720	14278
869	94833	14170
870	94927	14059
871	95020	13947
872	95155	13842
873	95220	13727
874	95325	13617
875	95401	13504
876	95536	13399
877	95636	13288
878	95818	13190
879	95908	13078
880	95999	12966
881	96138	12862
882	96223	12749
883	96370	12645
884	96469	12535
885	96571	12425
886	96719	12321
887	96824	12212
888	96906	12099
889	97121	12003
890	97197	11890
891	97313	11782
892	97412	11672
893	97495	11559
894	97641	11455
895	97817	11353
896	97939	11246
897	98007	11132
898	98153	11027
899	98214	10912
900	98308	10801
901	98461	10697
902	98529	10584
903	98608	10471
904	98752	10366
905	98823	10253
906	98890	10139
907	98987	10029
908	99081	9919
909	99158	9806
910	99262	9697
911	99384	9589
912	99533	9484
913	99657	9376
914	99741	9265
915	99978	9168
916	100064	9057
917	100191	8949
918	100260	8836
919	100326	8724
920	100397	8611
921	100530	8504
922	100596	8392
923	100664	8279
924	100795	8172
925	100865	8060
926	100939	7948
927	101006	7836
928	101208	7734
929	101287	7623
930	101444	7518
931	101552	7409
932	101678	7301
933	101818	7194
934	101902	7084
935	102151	6984
936	102213	6872
937	102348	6765
938	102452	6655
939	102517	6543
940	102708	6439
941	102794	6329
942	103002	6226
943	103071	6114
944	103314	6013
945	103407	5902
946	103620	5799
947	103679	5687
948	103825	5579
949	103944	5470
950	104062	5361
951	104147	5251
952	104247	5141
953	104324	5030
954	104414	4920
955	104546	4811
956	104653	4702
957	104751	4592
958	104828	4481
959	104986	4374
960	105069	4264
961	105131	4152
962	105213	4042
963	105283	3931
964	105348	3820
965	105451	3711
966	105577	3602
967	105653	3492
968	105798	3384
969	105957	3277
970	106046	3167
971	106181	3058
972	106264	2948
973	106384	2839
974	106514	2731
975	106586	2620
976	106703	2511
977	106818	2402
978	106947	2294
979	107110	2185
980	107192	2076
981	107316	1967
982	107386	1857
983	107465	1747
984	107596	1638
985	107701	1529
986	107779	1419
987	107915	1310
988	108007	1201
989	108087	1091
990	108234	982
991	108326	873
992	108522	765
993	108625	655
994	108690	546
995	108763	436
996	108833	327
997	108907	218
998	108989	109
999	109110	0
